original,sanitized
dna_id,dna_id
date_of_birth,date_of_birth
age,age
gender,gender
is_there_any_chance_you_might_be_pregnant_,is_there_any_chance_you_might_be_pregnant
nationality,nationality
father_s_city_of_origin,father_s_city_of_origin
father_s_city_of_origin_1,father_s_city_of_origin_1
city_of_residence_during_childhood,city_of_residence_during_childhood
current_city_of_residence,current_city_of_residence
consent_obtained_,consent_obtained
date_of_enrolment,date_of_enrolment
complete_,complete
current_recent_smoker_1_year_,current_recent_smoker_1_year
how_long_have_you_been_smoking_,how_long_have_you_been_smoking
how_many_cigarettes_have_you_been_smoking_a_day_,how_many_cigarettes_have_you_been_smoking_a_day
do_you_drink_alcohol_,do_you_drink_alcohol
do_you_take_any_medication_currently_,do_you_take_any_medication_currently
complete_1,complete_1
volunteer_under_18_year_old_,volunteer_under_18_year_old
non_egyptian_parents_,non_egyptian_parents
known_cvs_disease,known_cvs_disease
known_collagen_disease,known_collagen_disease
communication_difficulties,communication_difficulties
unwilling_to_participate,unwilling_to_participate
pregnant_female,pregnant_female
contraindications_for_mri,contraindications_for_mri
history_of_sudden_death_history,history_of_sudden_death_history
history_of_familial_cardiomyopathies,history_of_familial_cardiomyopathies
history_of_premature_cad,history_of_premature_cad
complete_2,complete_2
offspring_of_consanguinous_marriage,offspring_of_consanguinous_marriage
parents_occupation,parents_occupation
marital_status,marital_status
consanguinous_marriage,consanguinous_marriage
number_of_children,number_of_children
how_many_siblings_you_have_,how_many_siblings_you_have
are_you_one_of_a_twin_or_triplet_,are_you_one_of_a_twin_or_triplet
who_and_what_disease_,who_and_what_disease
does_any_other_non_cardiac_condition_run_in_your_family_,does_any_other_non_cardiac_condition_run_in_your_family
what_is_this_these_condition_s_,what_is_this_these_condition_s
where_did_you_spend_your_childhood_,where_did_you_spend_your_childhood
complete_3,complete_3
heart_attack_or_angina,heart_attack_or_angina
high_blood_pressure,high_blood_pressure
dyslipidemia,dyslipidemia
rheumatic_fever,rheumatic_fever
anaemia,anaemia
lung_problems,lung_problems
kidney_problems,kidney_problems
liver_problems,liver_problems
diabetes_mellitus,diabetes_mellitus
prior_heart_failure_previous_hx_,prior_heart_failure_previous_hx
neurological_problems,neurological_problems
muscloskeletal_problems,muscloskeletal_problems
autoimmune_problems,autoimmune_problems
have_you_undergone_an_operation_or_any_surgical_procedures_,have_you_undergone_an_operation_or_any_surgical_procedures
procedure_details,procedure_details
malignancy,malignancy
complete_4,complete_4
examination_date,examination_date
type,type
heart_rate,heart_rate
regularity,regularity
bp,bp
height_cm_,height_cm
weight_kg_,weight_kg
bmi,bmi
bsa,bsa
jvp,jvp
abnormal_physical_structure,abnormal_physical_structure
s1,s1
s2,s2
s3,s3
s4,s4
complete_5,complete_5
hba1c,hba1c
troponin_i,troponin_i
complete_6,complete_6
rate,rate
rhythm,rhythm
p_wave_abnormality,p_wave_abnormality
pr_interval,pr_interval
qrs_duration,qrs_duration
qrs_abnormalities,qrs_abnormalities
st_segment_abnormalities,st_segment_abnormalities
qtc_interval,qtc_interval
t_wave_abnormalities,t_wave_abnormalities
ecg_conclusion,ecg_conclusion
complete_7,complete_7
echo_date,echo_date
aortic_root,aortic_root
left_atrium,left_atrium
right_ventricle,right_ventricle
lvedd,lvedd
lvesd,lvesd
ivsd,ivsd
ivss,ivss
lvpwd,lvpwd
lvpws,lvpws
ef,ef
fs,fs
subaortic_membrane,subaortic_membrane
mitral_regurge,mitral_regurge
mitral_stenosis,mitral_stenosis
tricuspid_regurge,tricuspid_regurge
tricuspid_stenosis,tricuspid_stenosis
aortic_regurge,aortic_regurge
aortic_stenosis,aortic_stenosis
pulmonary_regurge,pulmonary_regurge
pulmonary_stenosis,pulmonary_stenosis
complete_8,complete_8
mri,mri
heart_rate_during_mri,heart_rate_during_mri
mri_date,mri_date
left_ventricular_ejection_fraction,left_ventricular_ejection_fraction
left_ventricular_end_diastolic_volume,left_ventricular_end_diastolic_volume
left_ventricular_end_systolic_volume,left_ventricular_end_systolic_volume
left_ventricular_mass,left_ventricular_mass
right_ventricular_ef,right_ventricular_ef
complete_9,complete_9
ever_smoked,ever_smoked
smoking_years,smoking_years
current_city_category,current_city_category
childhood_city_category,childhood_city_category
migration_pattern,migration_pattern
comorbidity,comorbidity
sysbp,sysbp
diasbp,diasbp
ecg_rate_clean,ecg_rate_clean
missing_ecg,missing_ecg
missing_echo,missing_echo
missing_mri,missing_mri
missing_ecg_echo_mri,missing_ecg_echo_mri
bp_outlier,bp_outlier
hba1c_outlier,hba1c_outlier
troponin_i_outlier,troponin_i_outlier
heart_rate_outlier,heart_rate_outlier
height_cm__outlier,height_cm__outlier
weight_kg__outlier,weight_kg__outlier
bmi_outlier,bmi_outlier
bsa_outlier,bsa_outlier
sysbp_outlier,sysbp_outlier
diasbp_outlier,diasbp_outlier
current_city_lat,current_city_lat
current_city_lon,current_city_lon
